day,bw,cow
20221028,1190,4558
20221028,1304,4560
20221115,1434,4568
20221115,1432,4581
20221115,1504,4561
20221115,1454,4549
20221115,1228,4564
20221115,1306,4567
20221115,1568,4553
20221115,1444,4570
20221115,1494,4562
20221115,1466,4572
20221115,1250,4558
20221115,1382,4560
20220328,442,4612
20220328,362,4619
20220328,526,4587
20220328,528,4573
20220328,526,4577
20220328,490,4593
20220328,440,4610
20220328,522,4580
20220328,492,4589
20220328,416,4608
20220328,516,4574
20220328,532,4579
20220425,530,4612
20220425,452,4619
20220425,626,4587
20220425,600,4573
20220425,576,4577
20220425,576,4593
20220425,508,4610
20220425,646,4580
20220425,580,4589
20220425,520,4608
20220425,628,4574
20220425,610,4579
20220523,590,4612
20220523,534,4619
20220523,678,4587
20220523,672,4573
20220523,638,4577
20220523,650,4593
20220523,580,4610
20220523,736,4580
20220523,652,4589
20220523,614,4608
20220523,716,4574
20220523,704,4579
20220620,706,4612
20220620,616,4619
20220620,800,4587
20220620,790,4573
20220620,740,4577
20220620,748,4593
20220620,712,4610
20220620,882,4580
20220620,818,4589
20220620,716,4608
20220620,842,4574
20220620,830,4579
20220718,844,4612
20220718,862,4619
20220718,932,4587
20220718,908,4573
20220718,854,4577
20220718,866,4593
20220718,840,4610
20220718,972,4580
20220718,948,4589
20220718,834,4608
20220718,936,4574
20220718,974,4579
20220815,970,4612
20220815,872,4619
20220815,1028,4587
20220815,1014,4573
20220815,956,4577
20220815,914,4593
20220815,985,4610
20220815,1084,4580
20220815,1036,4589
20220815,938,4608
20220815,1018,4574
20220815,1050,4579
20220916,1112,4612
20220916,1012,4619
20220916,1190,4587
20220916,1112,4573
20220916,1064,4577
20220916,1058,4593
20220916,1078,4610
20220916,1226,4580
20220916,1180,4589
20220916,1038,4608
20220916,1122,4574
20220916,1120,4579
20221021,1250,4612
20221021,1088,4619
20221021,1356,4587
20221021,1266,4573
20221021,1236,4577
20221021,1166,4593
20221021,1230,4610
20221021,1308,4580
20221021,1316,4589
20221021,1186,4608
20221021,1272,4574
20221021,1286,4579
20221108,1318,4612
20221108,1184,4619
20221108,1412,4587
20221108,1336,4573
20221108,1238,4577
20221108,1228,4593
20221108,1284,4610
20221108,1326,4580
20221108,1378,4589
20221108,1228,4608
20221108,1290,4574
20221108,1352,4579
20221115,1350,4612
20221115,1186,4619
20221115,1450,4587
20221115,1344,4573
20221115,1270,4577
20221115,1242,4593
20221115,1308,4610
20221115,1344,4580
20221115,1404,4589
20221115,1250,4608
20221115,1322,4574
20221115,1348,4579
20220425,416,4646
20220425,506,4625
20220425,448,4626
20220425,478,4607
20220425,474,4616
20220425,520,4614
20220425,470,4627
20220425,506,4632
20220425,402,4642
20220425,450,4637
20220425,574,4609
20220425,404,4639
20220523,492,4646
20220523,604,4625
20220523,540,4626
20220523,554,4607
20220523,566,4616
20220523,606,4614
20220523,560,4627
20220523,600,4632
20220523,456,4642
20220523,534,4637
20220523,668,4609
20220523,466,4639
20220620,606,4646
20220620,734,4625
20220620,656,4626
20220620,676,4607
20220620,688,4616
20220620,724,4614
20220620,704,4627
20220620,714,4632
20220620,560,4642
20220620,662,4637
20220620,810,4609
20220620,546,4639
20220718,704,4646
20220718,866,4625
20220718,756,4626
20220718,764,4607
20220718,776,4616
20220718,820,4614
20220718,798,4627
20220718,822,4632
20220718,656,4642
20220718,762,4637
20220718,924,4609
20220718,634,4639
20220815,822,4646
20220815,1018,4625
20220815,886,4626
20220815,878,4607
20220815,888,4616
20220815,890,4614
20220815,940,4627
20220815,968,4632
20220815,802,4642
20220815,914,4637
20220815,1064,4609
20220815,758,4639
20220916,958,4646
20220916,1152,4625
20220916,1028,4626
20220916,958,4607
20220916,1004,4616
20220916,1000,4614
20220916,1096,4627
20220916,1104,4632
20220916,934,4642
20220916,1026,4637
20220916,1174,4609
20220916,866,4639
20221108,1140,4646
20221108,1330,4625
20221108,1252,4626
20221108,1126,4607
20221108,1218,4616
20221108,1158,4614
20221108,1232,4637
20221108,1044,4639
20221209,1240,4646
20221209,1494,4625
20221209,1394,4626
20221209,1238,4607
20221209,1312,4616
20221209,1252,4614
20221216,1464,4627
20221216,1438,4632
20221216,1362,4642
20221216,1366,4637
20221216,1568,4609
20221216,1162,4639
20230106,1368,4646
20230106,1608,4625
20230106,1524,4626
20230106,1328,4607
20230106,1406,4616
20230106,1344,4614
20230106,1562,4627
20230106,1534,4632
20230106,1450,4642
20230106,1446,4637
20230106,1650,4609
20230106,1236,4639
20230119,1394,4646
20230119,1642,4625
20230119,1552,4626
20230119,1346,4607
20230119,1428,4616
20230119,1378,4614
20230119,1582,4627
20230119,1552,4632
20230119,1496,4642
20230119,1478,4637
20230119,1710,4609
20230119,1258,4639
20220516,448,4636
20220516,478,4643
20220516,394,4670
20220516,436,4640
20220516,496,4644
20220516,388,4661
20220516,394,4645
20220516,442,4666
20220516,390,4675
20220516,458,4650
20220516,452,4655
20220516,420,4657
20220613,574,4636
20220613,580,4643
20220613,542,4670
20220613,522,4640
20220613,544,4644
20220613,486,4661
20220613,476,4645
20220613,554,4666
20220613,508,4675
20220613,578,4650
20220613,594,4655
20220613,532,4657
20220711,678,4636
20220711,682,4643
20220711,560,4670
20220711,612,4640
20220711,714,4644
20220711,618,4661
20220711,560,4645
20220711,676,4666
20220711,616,4675
20220711,708,4650
20220711,710,4655
20220711,622,4657
20220808,758,4636
20220808,766,4643
20220808,664,4670
20220808,686,4640
20220808,786,4644
20220808,680,4661
20220808,620,4645
20220808,760,4666
20220808,728,4675
20220808,764,4650
20220808,776,4655
20220808,692,4657
20220906,872,4636
20220906,904,4643
20220906,810,4670
20220906,786,4640
20220906,920,4644
20220906,748,4661
20220906,720,4645
20220906,916,4666
20220906,848,4675
20220906,892,4650
20220906,902,4655
20220906,814,4657
20230119,1332,4636
20230119,1406,4643
20230119,1436,4670
20230119,1246,4640
20230119,1406,4644
20230119,1234,4661
20230119,1248,4645
20230119,1498,4666
20230119,1424,4675
20230119,1450,4650
20230119,1414,4655
20230119,1318,4657
20221007,1004,4636
20221007,994,4643
20221007,958,4670
20221007,894,4640
20221007,1012,4644
20221007,858,4661
20221007,882,4645
20221007,1048,4666
20221007,966,4675
20221007,990,4650
20221007,1014,4655
20221007,890,4657
20221104,1100,4636
20221104,1130,4643
20221104,1132,4670
20221104,1004,4640
20221104,1120,4644
20221104,976,4661
20221104,962,4645
20221104,1196,4666
20221104,1140,4675
20221104,1082,4650
20221104,1114,4655
20221104,1016,4657
20221209,1230,4636
20221209,1286,4643
20221209,1286,4670
20221209,1142,4640
20221209,1258,4644
20221209,1124,4661
20221209,1100,4645
20221209,1334,4666
20221209,1244,4675
20221209,1220,4650
20221209,1252,4655
20221221,1226,4636
20221221,1288,4643
20221221,1294,4670
20221221,1154,4640
20221221,1302,4644
20221221,1122,4661
20221221,1122,4645
20221221,1370,4666
20221221,1290,4675
20221221,1292,4650
20221221,1274,4655
20221221,1196,4657
20220606,430,4676
20220606,382,4679
20220606,436,4681
20220606,438,4662
20220606,392,4680
20220606,366,4684
20220606,394,4699
20220606,410,4678
20220606,394,4686
20220606,454,4674
20220606,350,4682
20220705,568,4676
20220705,518,4679
20220705,560,4681
20220705,570,4662
20220705,518,4680
20220705,518,4684
20220705,498,4699
20220705,526,4678
20220705,498,4686
20220705,574,4674
20220705,452,4682
20220705,504,4683
20220802,662,4676
20220802,608,4679
20220802,648,4681
20220802,662,4662
20220802,630,4680
20220802,606,4684
20220802,576,4699
20220802,612,4678
20220802,584,4686
20220802,662,4674
20220802,540,4682
20220802,572,4683
20220829,770,4676
20220829,728,4679
20220829,756,4681
20220829,758,4662
20220829,740,4680
20220829,734,4684
20220829,690,4699
20220829,682,4678
20220829,698,4686
20220829,770,4674
20220829,640,4682
20220829,682,4683
20220930,878,4676
20220930,812,4679
20220930,834,4681
20220930,874,4662
20220930,816,4680
20220930,890,4684
20220930,800,4699
20220930,772,4678
20220930,806,4686
20220930,890,4674
20220930,750,4682
20220930,764,4683
20221028,992,4676
20221028,944,4679
20221028,954,4681
20221028,926,4662
20221028,922,4680
20221028,984,4684
20221028,908,4699
20221028,916,4686
20221028,1002,4674
20221028,858,4682
20221028,878,4683
20221123,1118,4676
20221123,1068,4679
20221123,1076,4681
20221123,1016,4662
20221123,1040,4680
20221123,1152,4684
20221123,1046,4699
20221123,980,4678
20221123,1032,4686
20221123,1132,4674
20221123,966,4682
20221123,994,4683
20221229,1264,4676
20221229,1240,4679
20221229,1252,4681
20221229,1144,4662
20221229,1228,4680
20221229,1294,4684
20221229,1222,4699
20221229,1156,4678
20221229,1234,4686
20221229,1312,4674
20221229,1156,4682
20220627,494,4685
20220627,462,4689
20220627,412,4692
20220627,388,4696
20220627,414,4697
20220627,392,4706
